Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16010815 9542,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Open Market,COU,2000/01,28/06/1994,DDDC,1
16440708 5325,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Open Market,COU,1995/96,11/10/1994,DDDC,2
16210102 9045,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Open Market,COU,1997/98,10/10/1994,DDDC,3
16710922 0314,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Open Market,COU,2001/02,24/12/1985,DDDC,1
16030519 3419,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Open Market,COU,1993/94,13/03/1989,SMDC,1
16900606 9745,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Open Market,COU,1996/97,01/02/1993,DDDC,1
16600516 2703,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Open Market,COU,2002/03,21/03/2000,MBC,2
16840612 6493,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Open Market,COU,2003/04,21/03/2000,MBC,3
16110818 7970,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Open Market,COU,1994/95,18/08/1993,DDDC,1
16240602 1572,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Open Market,COU,1994/95,26/11/1993,DDDC,1
16350922 6472,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Open Market,COU,1992/93,12/04/1991,HPBC,1
16690420 1008,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Open Market,COU,1991/92,11/09/1991,DDDC,1
16921122 4754,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Open Market,COU,2004/05,29/04/2003,DDDC,1
16900212 4528,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Open Market,COU,2003/04,17/04/2003,DDDC,1
16730424 1354,Bamford,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Open Market,COU,2008/09,27/05/2005,HPBC,1
16280212 5662,Eyam,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Open Market,COU,2008/09,30/06/2006,DDDC,1
16451213 5981,Bakewell,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Open Market,COU,2007/08,13/08/2007,DDDC,1
16800617 9322,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Open Market,COU,2006/07,15/12/2005,DDDC,1
16411104 0921,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Open Market,COU,2006/07,18/01/2005,DDDC,1
16460803 2563,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Open Market,COU,2008/09,27/01/2005,DDDC,1
16780423 3448,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Open Market,COU,2009/10,12/02/2008,DDDC,1
16401229 2787,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Open Market,COU,2007/08,27/04/2005,DDDC,2
16791008 2648,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Open Market,COU,1994/95,09/12/1994,DDDC,1
16310816 1765,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Open Market,COU,2003/04,14/05/1999,DDDC,1
16180117 2618,Tideswell,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Open Market,COU,1996/97,05/04/1995,DDDC,1
16200711 2358,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Open Market,COU,1998/99,03/06/1997,DDDC,1
16650306 5184,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Open Market,COU,2005/06,14/04/1999,DDDC,1
16460622 8189,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Open Market,COU,2006/07,21/06/2000,HPBC,1
16720501 6269,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Open Market,COU,2002/03,01/06/2001,SMDC,1
16220124 7513,Fawfieldhead,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Open Market,COU,1992/93,24/08/1989,SMDC,1
16500503 7667,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Open Market,COU,1994/95,30/04/1992,DDDC,1
16180517 4156,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Open Market,COU,2009/10,16/06/2008,HPBC,1
16760304 3873,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Open Market,COU,2006/07,30/09/2002,DDDC,1
16710620 3065,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Open Market,COU,1994/95,29/06/1993,HPBC,1
16821018 8119,Bonsall,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Open Market,COU,2005/06,09/03/1998,DDDC,1
16790703 2408,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Open Market,COU,1999/00,21/07/1998,HPBC,1
16250114 7488,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Open Market,COU,1998/99,06/07/1998,DDDC,1
16071012 4843,Charlesworth,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Open Market,COU,2002/03,26/07/1999,HPBC,1
16900920 2244,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Open Market,COU,2002/03,11/08/2000,HPBC,1
16120130 4563,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Open Market,COU,2003/04,06/08/2001,DDDC,1
16190327 9824,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Open Market,COU,2008/09,18/08/2004,DDDC,1
16111123 9404,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Open Market,COU,2004/05,10/09/1997,HPBC,1
16441212 1289,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Open Market,COU,2001/02,18/09/2000,SMDC,1
16291006 3706,Middleton & Smerrill,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Open Market,COU,2004/05,15/09/2000,DDDC,1
16530103 5704,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Open Market,COU,1999/00,17/08/1998,DDDC,1
16910803 7210,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Open Market,COU,2000/01,25/11/1999,DDDC,1
16250524 6229,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Open Market,COU,2000/01,05/10/2000,DDDC,1
16580210 8844,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Open Market,COU,1995/96,10/11/1992,DDDC,1
16720130 0980,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Open Market,COU,2007/08,13/12/1995,DDDC,1
16640330 9559,Winster,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Open Market,COU,2000/01,08/12/1997,DDDC,1
16930715 8775,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Open Market,COU,1999/00,28/09/1998,DDDC,1
16311207 6645,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Open Market,COU,1999/00,22/10/1998,DDDC,1
16271014 4326,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Open Market,COU,2000/01,27/09/1999,DDDC,1
16801106 4246,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Open Market,COU,2003/04,13/11/2000,DDDC,1
16251227 2184,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Open Market,COU,1993/94,09/07/1992,DDDC,1
16180116 7121,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Open Market,COU,1993/94,10/11/1992,DDDC,1
16771119 6951,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Open Market,COU,2002/03,07/01/1997,DDDC,1
16461029 4599,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Open Market,COU,1999/00,27/01/1999,DDDC,1
16170307 8228,Thorpe,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Open Market,COU,1999/00,03/11/1999,DDDC,1
16361022 1099,Hathersage,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Open Market,COU,2004/05,24/11/2000,DDDC,1
16120813 9954,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Open Market,COU,2008/09,12/02/2001,DDDC,1
16770914 9301,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Open Market,COU,2004/05,24/12/2002,SMDC,1
16550214 5476,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Open Market,COU,2004/05,23/12/2002,DDDC,1
16060827 3405,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Open Market,COU,2002/03,18/12/1998,DDDC,1
16691111 9003,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Open Market,COU,1999/00,02/12/1998,DDDC,1
16560105 0684,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Open Market,COU,2002/03,15/12/1999,DDDC,1
16490808 8596,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Open Market,COU,1992/93,06/03/1987,DDDC,1
16241104 5665,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Open Market,COU,1992/93,06/02/1991,DDDC,1
16730127 4267,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Open Market,COU,1993/94,01/03/1993,DDDC,1
16100305 3186,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Open Market,COU,1995/96,29/12/1995,DDDC,1
16400919 8336,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Open Market,COU,1998/99,15/01/1998,DDDC,1
16180817 3015,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Open Market,COU,2000/01,23/12/1998,DDDC,1
16060724 5545,Grindleford,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Open Market,COU,2009/10,15/04/2004,DDDC,1
16140804 3568,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Open Market,COU,1993/94,30/04/1990,DDDC,1
16421103 1937,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Open Market,COU,2003/04,31/03/1999,HPBC,1
16550324 0458,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Open Market,COU,1996/97,05/04/1995,DDDC,1
16731016 3857,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Open Market,COU,2006/07,08/04/2005,DDDC,1
16960311 1700,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Open Market,COU,1998/99,07/03/1997,DDDC,1
16760619 6140,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Open Market,COU,2003/04,07/03/1997,DDDC,1
16220821 1041,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Open Market,COU,2004/05,19/08/2002,HPBC,2
16921121 7501,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Open Market,COU,2002/03,05/10/2001,MBC,2
16880616 4771,Litton,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Open Market,COU,2000/01,24/09/1999,DDDC,2
16100706 1979,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Open Market,COU,1997/98,20/11/1995,DDDC,2
16300808 0016,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Open Market,COU,2008/09,01/11/2006,DDDC,2
16771115 6021,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Open Market,COU,1991/92,25/01/1990,SMDC,1
16081115 6488,Longnor,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Open Market,COU,2001/02,25/01/1990,SMDC,1
16980115 0815,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Open Market,COU,1993/94,10/12/1992,SMDC,1
16321126 1551,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Open Market,COU,1998/99,10/12/1992,SMDC,1
16030428 2304,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Open Market,COU,2002/03,08/01/2002,DDDC,2
16200226 9476,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Open Market,COU,1999/00,17/12/1998,DDDC,2
16320126 0282,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Open Market,COU,2004/05,25/02/2002,DDDC,2
16110220 8921,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Open Market,COU,1998/99,06/02/1997,DDDC,2
16751013 0979,Eyam,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Open Market,COU,2004/05,30/09/2002,DDDC,2
16671129 0657,Eyam,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Open Market,COU,2005/06,30/09/2002,DDDC,1
16190225 0107,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Open Market,COU,2001/02,06/07/2000,DDDC,3
16091015 8013,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Open Market,COU,2003/04,30/06/2003,DDDC,1
16560112 4919,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Open Market,COU,2004/05,30/06/2003,DDDC,2
16380207 3787,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Open Market,COU,2001/02,11/02/2000,DDDC,3
16011120 5506,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Open Market,COU,2007/08,26/04/2007,DDDC,3
16120128 3437,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Open Market,COU,2000/01,21/12/1999,DDDC,3
16010815 9542,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Open Market,COU,1996/97,19/08/1996,DDDC,4
16440708 5325,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Open Market,COU,1999/00,17/12/1997,DDDC,4
16210102 9045,Hope,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Open Market,COU,2000/01,01/11/1999,HPBC,4
16710922 0314,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Open Market,COU,2001/02,17/07/2000,DDDC,5
16030519 3419,Bamford,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Open Market,COU,1997/98,05/01/1996,HPBC,5
16900606 9745,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Open Market,COU,2004/05,06/01/2004,DDDC,6
16600516 2703,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Open Market,COU,2002/03,02/02/2001,DDDC,8
16840612 6493,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Open Market,COU,2008/09,30/07/2001,DDDC,9
16110818 7970,Heaton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Open Market,COU,1992/93,24/04/1987,SMDC,6
16240602 1572,Heaton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Open Market,COU,1997/98,24/04/1987,SMDC,4
16350922 6472,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Open Market,COU,2003/04,25/06/2002,DDDC,20
16690420 1008,Bamford,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Open Market,COU,1997/98,05/01/1996,HPBC,22
16921122 4754,Calver,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Open Market,COU,2000/01,15/01/1999,DDDC,42
16900212 4528,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Open Market,COU,2001/02,15/01/1999,DDDC,1
16730424 1354,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Open Market,COU,1994/95,22/11/1993,HPBC,1
16280212 5662,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Open Market,COU,1992/93,15/07/1991,DDDC,1
16451213 5981,Hope,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Open Market,COU,1996/97,29/06/1993,HPBC,1
16800617 9322,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Open Market,COU,2000/01,31/01/1994,DDDC,1
16411104 0921,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Open Market,COU,1998/99,03/01/1991,DDDC,1
16460803 2563,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Open Market,COU,2002/03,09/03/1992,HPBC,1
16780423 3448,South Darley,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Open Market,COU,1993/94,27/04/1993,DDDC,1
16401229 2787,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Open Market,COU,1995/96,12/09/1991,DDDC,1
16791008 2648,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Open Market,COU,1992/93,09/04/1991,DDDC,1
16310816 1765,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Open Market,COU,1995/96,17/11/1993,DDDC,1
16180117 2618,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Open Market,COU,1998/99,31/01/1994,DDDC,2
16200711 2358,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Open Market,COU,1993/94,05/09/1991,SCC,4
16650306 5184,Bradbourne,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Open Market,COU,1994/95,06/06/1994,DDDC,1
16460622 8189,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Open Market,COU,2005/06,06/04/2000,DDDC,1
16720501 6269,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Open Market,COU,2005/06,06/04/2000,DDDC,1
16220124 7513,Parwich,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Open Market,COU,1993/94,23/12/1987,DDDC,1
16500503 7667,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Open Market,COU,1991/92,09/05/1990,DDDC,1
16180517 4156,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Open Market,COU,1995/96,12/08/1991,DDDC,1
16760304 3873,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Open Market,COU,1994/95,28/06/1994,DDDC,1
16710620 3065,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Open Market,COU,1995/96,28/06/1994,DDDC,2
16821018 8119,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Open Market,COU,1996/97,28/06/1994,DDDC,1
16790703 2408,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Open Market,COU,2008/09,28/06/1994,DDDC,1
16250114 7488,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Open Market,COU,2002/03,07/06/2001,DDDC,1
16071012 4843,Tissington,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Open Market,COU,2002/03,11/09/2002,DDDC,1
16900920 2244,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Open Market,COU,2006/07,28/05/2004,DDDC,1
16120130 4563,Stanton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Open Market,COU,2006/07,29/07/2005,DDDC,1
16190327 9824,Outseats,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Open Market,COU,2008/09,14/07/2004,DDDC,1
16111123 9404,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Open Market,COU,2005/06,24/05/2005,DDDC,1
